Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Cameroon,CMR,Age dependency ratio (% of working-age population),SP.POP.DPND,99.222559129089,99.1518723262906,98.9806477701929,98.6382657534088,98.14460065487252,97.51612639262048,96.68769838657438,95.68430127726238,94.7328945868538,93.93393839248807,93.17379983937408,92.34897966209276,91.4731847916586,90.69035299392895,90.06519125020897,89.5663529097767,89.14183972653849,88.70664217752619,88.28829778617451,87.94344226050822,87.64995940847912,87.39238321425901,87.1152204457813,86.74010555229282,86.0043368057403,85.20322843149395,84.72873164992484,84.45293502033839,84.12266747659794,83.58064134660431,82.88431226568666,82.08936503576739,81.22958666221038,80.29516040714506
Cameroon,CMR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,6.362,6.324,6.256,6.155,6.043,5.919,5.795,5.706,5.656,5.604,5.514,5.441,5.435,5.432,5.436,5.421,5.369,5.343,5.294,5.236,5.154,5.052,4.982,4.905,4.844,4.841,4.842,4.804,4.74,4.651,4.557,4.468,4.397,4.322
Cameroon,CMR,Population density (people per sq. km of land area),EN.POP.DNST,23.97203570899706,24.681474900044424,25.39898246282076,26.132578113431062,26.87673838082545,27.62479321359819,28.37840748027332,29.14094053436568,29.92291256795921,30.727380423515477,31.54710287491274,32.38664297349326,33.26675551606694,34.186583740559755,35.13885257345942,36.12065325463815,37.12721753294832,38.18386748746589,39.29270800279241,40.43488396691418,41.60704448816399,42.80066848596391,44.0217659876034,45.27591123521821,46.6668634046244,48.155135283789214,49.61638425250153,51.043136383829406,52.47695838886421,53.95717247360961,55.44743711789469,56.93926085760826,58.456074548877744,60.02133866429735
Cameroon,CMR,Population growth (annual %),SP.POP.GROW,2.94699987458872,2.91649859858171,2.86561545097735,2.84736268467474,2.8078428743676,2.74525060356896,2.69148816728723,2.65155206464138,2.64804169057659,2.65296340314705,2.63276307164066,2.62643255915311,2.68124815756453,2.72747133462562,2.74741504067453,2.75573848394242,2.74855128044116,2.80627824632764,2.86258453269924,2.86539222671372,2.85766146651935,2.82842297078772,2.8130471843416,2.80909371019789,3.02592195035823,3.13934346036401,2.98933225067819,2.83499798189177,2.77030987519388,2.78164441246944,2.7244863481235,2.65496076580698,2.62905090961273,2.64245336134821
Cameroon,CMR,"Population, total",SP.POP.TOTL,11331821.0,11667180.0,12006353.0,12353131.0,12704903.0,13058516.0,13414757.0,13775214.0,14144860.0,14525140.0,14912631.0,15309490.0,15725528.0,16160340.0,16610487.0,17074594.0,17550407.0,18049896.0,18574056.0,19113974.0,19668066.0,20232304.0,20809529.0,21402376.0,22059893.0,22763414.0,23454161.0,24128601.0,24806383.0,25506095.0,26210558.0,26915758.0,27632771.0,28372687.0
Cameroon,CMR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,40.0887363273593,40.770166213607,41.4395077111738,42.0958101970685,42.7381230483001,43.3654956418773,43.9769773548092,44.5716175641045,45.1484656467721,45.7065709798209,46.2449829402599,46.7627509050978,47.2589242513436,47.7325523560061,48.1826845960942,48.5837852394685,49.2044173412861,49.7027028593758,50.0858325268669,50.4714131335678,50.8505075371362,51.2229843034125,51.5887119982861,51.9475591877024,52.2993944376709,52.6440863142742,52.9815033836792,53.3115142121504,53.6339873660653,53.9487914119331,54.2557949164174,54.5548664463635,54.8458745688318,55.1286878511388
"Congo, Dem. Rep.",COD,Age dependency ratio (% of working-age population),SP.POP.DPND,89.53522358106774,89.73062883255119,89.94242207472077,90.00520388260583,88.7095935203807,88.36899949763975,90.84353784087604,93.50100485796604,94.44935662979546,94.44459307715142,94.64734692943192,94.82708581650829,95.0615717200852,95.39737868758978,95.65053342799531,95.74576017907876,95.89958250406232,96.20538694865652,96.5494225889886,96.8001418126445,96.75622590642962,96.51439431317038,96.4314424412382,96.45487492186714,96.48496668990806,96.52781871996248,96.19789360558488,95.79763130082124,95.94153874120164,96.35179731796558,96.61302060794942,96.7262299524834,96.7658121576433,96.6825341170883
"Congo, Dem. Rep.",COD,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,6.649,6.645,6.639,6.641,6.643,6.676,6.672,6.69,6.7,6.692,6.702,6.663,6.606,6.549,6.53,6.526,6.547,6.559,6.58,6.591,6.587,6.582,6.559,6.527,6.483,6.437,6.392,6.349,6.302,6.253,6.206,6.156,6.106,6.051
"Congo, Dem. Rep.",COD,Population density (people per sq. km of land area),EN.POP.DNST,16.181408879380694,16.729148893937055,17.30394565624931,17.933585937672305,18.802794821464012,19.5997900355087,19.9802051123707,20.30387596215346,20.863059923689377,21.575603096535144,22.278927240246134,22.99580776780397,23.709456783044043,24.41228336384288,25.14181028208465,25.92608191261772,26.73779052072076,27.559053395381664,28.40284246046625,29.29447696345471,30.243284444542468,31.251763745837103,32.312749167420215,33.43084404843299,34.583816854502544,35.744924461304336,37.03333186299376,38.41264991949891,39.72018438058269,40.99929070818906,42.34136785690655,43.73477955933923,45.16749432081339,46.6640484329856
"Congo, Dem. Rep.",COD,Population growth (annual %),SP.POP.GROW,3.31797538712724,3.32896574554935,3.37819074562411,3.57407160295395,4.73302553589306,4.15133342018812,1.92231853470865,1.60697628662433,2.7168325472246,3.35830626776397,3.20780748301006,3.1670663452371,3.05620605844951,2.92124332432638,2.94457864295254,3.07172770424984,3.08284543640824,3.02531584938763,3.01581282864875,3.09097719189927,3.18751592835336,3.28016564590395,3.33860489598034,3.40170849300578,3.39069033335839,3.3022434270539,3.54100823238224,3.65684620577994,3.34726508426912,3.1695285579572,3.22098049233111,3.23790848096045,3.2234019442495,3.25963514299902
"Congo, Dem. Rep.",COD,"Population, total",SP.POP.TOTL,36684063.0,37925817.0,39228910.0,40656336.0,42626876.0,44433704.0,45296124.0,46029902.0,47297600.0,48912971.0,50507442.0,52132646.0,53750524.0,55343867.0,56997741.0,58775724.0,60615908.0,62477752.0,64390664.0,66412044.0,68563038.0,70849311.0,73254618.0,75789395.0,78403242.0,81035531.0,83956415.0,87083398.0,90047644.0,92947442.0,95989998.0,99148932.0,102396968.0,105789731.0
"Congo, Dem. Rep.",COD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,30.2744748770515,30.6864874331592,31.1112109993961,31.5480979038271,31.9966004745173,32.4561710395319,32.9262619269359,33.4063254647945,33.8958139811728,34.3941798041357,34.9008752617485,35.4153526820763,35.937064393184,36.4654627231369,37.0,37.4018738621901,37.8024827128113,38.201781337298,38.5997245210844,38.9962670496049,39.391363708294,39.7849692825859,40.1770385579151,40.5675263197158,40.9563873534225,41.3435764444694,41.7290483782911,42.1127579403217,42.4946599159958,42.8747090907476,43.2528602500115,43.6290681792218,44.003287663813,44.3754734892194
